opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v
-0.6887847447327323,0.4334327034105217,2.081449111584731,0.39652627808799623,-1.1868537891147335,-0.6257450650431065,1.3926643668519985,2.5148818149952525,-1.0853110228207286,0.03690642532252547,0.721310091878117,4.028385543266377
-0.6371906908465985,0.3479801041628159,2.074309979251041,0.44118738018263104,-1.1351566449575043,-0.6425712474527971,1.4371192884044426,2.422290083413857,-1.0783780710292294,-0.09320727601981516,0.7043060003188658,4.034134540326086
-0.5796295952314898,0.2662323767003281,1.9803821227289111,0.48122701365762055,-1.0393923521513901,-0.6164613661854812,1.4007525274974213,2.2466144994292394,-1.0608566088891105,-0.21499463695729243,0.6768824085818719,4.045884436386669
-0.5168130665551453,0.18864237190270514,1.888884781580394,0.5316741220290232,-0.937011863053258,-0.5842841438243328,1.3720717150252488,2.077527153483099,-1.0484871885841685,-0.34303175012631804,0.613407738318072,4.0669888986201705
-0.4492286552100429,0.11491821650199896,1.7956762732499336,0.5902563402328603,-0.8273242941135581,-0.5452508582575372,1.3464476180398908,1.9105944897519325,-1.0394849954429033,-0.4753381237308614,0.5652730584187429,4.110735884736948
-0.3776408071418947,0.04522860525566872,1.7057206844978654,0.6548027095463129,-0.7142793910467236,-0.5028446848479419,1.3280798773559708,1.7509492897535341,-1.0324435166882076,-0.6095741042906442,0.5435843999724318,4.168252148326723
-0.3023829695050181,-0.020469037449688022,1.619629897586269,0.7211189624416027,-0.6004469523248422,-0.4594899862971772,1.3172469280812509,1.599160860136581,-1.0235019319466208,-0.7415879998912907,0.518952687326776,4.227487454297542
-0.22384874868038868,-0.08215242982485799,1.5325536330045397,0.783619454072886,-0.48639146380602116,-0.4155433043782558,1.308704884324151,1.4504012031796818,-1.0074682027532746,-0.865771883897744,0.49749659364893756,4.289818166411079
-0.14224996422042963,-0.1399223255012186,1.449123506973184,0.8404600267428544,-0.3754567222253796,-0.37429290286577416,1.3068735427527545,1.3092011814719655,-0.9827099909632839,-0.980382352244073,0.4785428743192057,4.353948803529189
-0.05806274296870469,-0.19367426020575937,1.3709522225331832,0.900947068045084,-0.26403394872840197,-0.3318397073469293,1.3128894795644785,1.1772779623274239,-0.9590098110137887,-1.0946213282508432,0.46000247593326615,4.418989166769341
0.028564697699785993,-0.2435341655124402,1.2989097671899763,0.9646794364350849,-0.1528328165275527,-0.2888822481336658,1.3274744648897623,1.0553756016775362,-0.9361147387352989,-1.2082136019475251,0.44234370581915106,4.485020084949697
0.11725457684435373,-0.2894881561129476,1.2341993339742028,1.0279523064476686,-0.04449622534109021,-0.24786759181974094,1.3514539108185566,0.9447111778612551,-0.9106977296033149,-1.3174404625606162,0.4251239288308596,4.5519040476854755
0.20787479672282466,-0.33166054417825586,1.1756277022523975,1.0897931160134353,0.061020105241931244,-0.20874756520860904,1.3835024989752223,0.8439671580741417,-0.8819183192906106,-1.4214536601916912,0.4089102858074875,4.619703590165034
0.30008923677050914,-0.37007300736726056,1.11082085793771,1.153949623814405,0.17160900132360213,-0.16347212074528278,1.410910094708219,0.7407478505704493,-0.8538603870438958,-1.5240226311816656,0.3935298909669439,4.68821223921008
0.3937930279688237,-0.4048484349035883,1.046084322151889,1.2201353350963369,0.28392202045663584,-0.11539871097957022,1.4398773501207127,0.6412358872483006,-0.8263423071275131,-1.6249837699999252,0.37883965477120507,4.757306261190775
0.4887008452844248,-0.4360374637136453,0.9904511064901549,1.2879871661552786,0.3931184524747743,-0.06925070202426076,1.4791519517745797,0.5544136427765096,-0.7992863208708538,-1.724024629868924,0.36441157579545175,4.826924956832435
0.5847233349505855,-0.4637620784134457,0.9391142176045463,1.357323097079379,0.5014661072127091,-0.02277659946930649,1.5238375525551318,0.4753521391911006,-0.7725997621287936,-1.8210851754928248,0.3506069199943309,4.89720284102141
0.6816204411449988,-0.4880963957750185,0.8825575625482971,1.4278844997114557,0.6134736891540786,0.02861527069407005,1.564178003693296,0.3944611667732786,-0.746264058566457,-1.915980895486474,0.3371597989546566,4.968083543906835
0.779317224105094,-0.5091599741514238,0.8301050137801885,1.4995578272099102,0.7243850187674077,0.08014641963914892,1.6094222378852825,0.32094503962876475,-0.7202406031048162,-2.008717801361334,0.324231789281188,5.0396335916240265
0.8776145063597405,-0.5270416897202813,0.7739134335667778,1.563905316423367,0.8338031946081648,0.13147509656815398,1.6515279399265181,0.24687174384649646,-0.6862908100636265,-2.090947006143648,0.31175240481255795,5.111827228791063
0.9764494004038633,-0.5418568504829607,0.7300113966858282,1.5997478731566452,0.9230929384373402,0.16393981299392812,1.7064607970896915,0.18815454620286742,-0.6232984727527819,-2.141604723639606,0.29960402176964585,5.184666302715348
1.0756590479562147,-0.5537038646805909,0.6956298783039222,1.6241290567563111,1.0020791132043017,0.1873976568858991,1.7712889262601368,0.14192601362333135,-0.5484700088000964,-2.177832921436902,0.2874698212789903,5.258203911135919
1.175189757426896,-0.5626981097331305,0.6565395542393218,1.6460233291359816,1.0823367661617778,0.21339283258176467,1.8317293116662177,0.09384144450619125,-0.4708335717090857,-2.2087214388691123,0.275678837230624,5.33264724978442
1.2749122683530412,-0.5689460010979408,0.6256357220377171,1.6709689447415796,1.160122745528452,0.23819361080296086,1.9005479903907583,0.05668972093977631,-0.3960566763885385,-2.23991494583952,0.2641595543858119,5.408017307525869
